Patch_Size,Dim,Depth,Heads,pos_emb_ratio,Accuracy_old,Accuracy_new,phase_strong_old,magnitude_strong_old,normal_strong_old,FGSM_strong_old,fourier_strong_old,phase_strong_new,magnitude_strong_new,normal_strong_new,FGSM_strong_new,fourier_strong_new
4.0,256.0,6.0,8.0,0.125,69.38,71.82,16.52,17.5,23.7,13.18,0.25,18.69,19.81,26.94,13.18,0.32
4.0,256.0,6.0,8.0,0.2,69.38,69.86,16.52,17.5,23.7,13.18,0.25,19.12,19.6,25.96,13.42,0.11
4.0,256.0,6.0,8.0,0.25,69.38,71.39,16.52,17.5,23.7,13.18,0.25,19.47,19.7,27.56,14.42,0.23
4.0,256.0,6.0,8.0,0.5,69.38,70.3,16.52,17.5,23.7,13.18,0.25,18.71,19.24,26.1,14.8,0.21
4.0,64.0,8.0,2.0,0.0,56.77,54.33,14.46,14.72,17.45,11.66,1.17,13.2,13.5,15.58,7.68,0.2
4.0,64.0,8.0,2.0,0.125,56.77,58.01,14.46,14.72,17.45,11.66,1.17,15.48,16.19,19.78,10.0,0.16
4.0,64.0,8.0,2.0,0.2,56.77,58.13,14.46,14.72,17.45,11.66,1.17,15.19,15.05,18.82,10.89,0.7
4.0,64.0,8.0,2.0,0.25,56.77,57.53,14.46,14.72,17.45,11.66,1.17,14.26,15.06,17.09,9.86,0.98
4.0,64.0,8.0,2.0,0.5,56.77,56.6,14.46,14.72,17.45,11.66,1.17,14.27,14.48,16.37,11.13,1.05
4.0,128.0,8.0,2.0,0.0,63.64,60.95,17.28,18.15,22.23,12.85,0.68,16.15,16.42,20.07,10.28,0.1
4.0,128.0,8.0,2.0,0.125,63.64,64.28,17.28,18.15,22.23,12.85,0.68,16.6,17.69,23.08,11.78,0.38
4.0,128.0,8.0,2.0,0.2,63.64,65.67,17.28,18.15,22.23,12.85,0.68,18.93,19.81,24.37,13.93,0.52
4.0,128.0,8.0,2.0,0.25,63.64,65.99,17.28,18.15,22.23,12.85,0.68,16.22,15.99,21.71,12.06,0.48
4.0,128.0,8.0,2.0,0.5,63.64,64.67,17.28,18.15,22.23,12.85,0.68,15.59,15.97,20.59,11.99,1.09
4.0,256.0,8.0,2.0,0.0,68.39,63.89,17.02,17.75,23.01,13.77,0.19,16.87,17.81,19.75,10.49,0.4
4.0,256.0,8.0,2.0,0.125,68.39,69.96,17.02,17.75,23.01,13.77,0.19,21.06,20.56,27.26,15.18,0.39
4.0,256.0,8.0,2.0,0.2,68.39,70.06,17.02,17.75,23.01,13.77,0.19,17.7,18.36,22.73,13.02,0.41
4.0,256.0,8.0,2.0,0.25,68.39,67.96,17.02,17.75,23.01,13.77,0.19,19.7,20.64,25.51,13.96,0.3
4.0,256.0,8.0,2.0,0.5,68.39,65.72,17.02,17.75,23.01,13.77,0.19,15.79,16.68,22.25,12.95,0.61
4.0,64.0,8.0,4.0,0.0,57.41,55.63,13.84,14.79,16.31,10.45,0.82,14.36,14.74,17.64,8.79,0.11
4.0,64.0,8.0,4.0,0.125,57.41,58.58,13.84,14.79,16.31,10.45,0.82,15.11,15.84,18.59,10.34,0.53
4.0,64.0,8.0,4.0,0.2,57.41,58.69,13.84,14.79,16.31,10.45,0.82,16.03,16.0,19.26,10.97,0.75
4.0,64.0,8.0,4.0,0.25,57.41,58.82,13.84,14.79,16.31,10.45,0.82,14.84,15.61,18.08,10.03,0.69
4.0,64.0,8.0,4.0,0.5,57.41,56.97,13.84,14.79,16.31,10.45,0.82,14.23,15.58,19.34,10.22,0.48
4.0,128.0,8.0,4.0,0.0,64.59,60.55,15.15,15.52,20.46,10.96,0.58,17.57,18.19,21.74,9.38,0.14
4.0,128.0,8.0,4.0,0.125,64.59,65.69,15.15,15.52,20.46,10.96,0.58,20.47,20.71,27.34,13.82,0.19
4.0,128.0,8.0,4.0,0.2,64.59,66.48,15.15,15.52,20.46,10.96,0.58,18.82,19.46,24.72,12.73,0.3
4.0,128.0,8.0,4.0,0.25,64.59,66.34,15.15,15.52,20.46,10.96,0.58,16.47,17.28,23.39,12.06,0.3
4.0,128.0,8.0,4.0,0.5,64.59,64.21,15.15,15.52,20.46,10.96,0.58,15.42,16.01,21.27,11.99,0.38
4.0,256.0,8.0,4.0,0.0,69.12,65.09,16.56,17.31,23.08,13.16,0.29,18.81,18.29,23.25,10.29,0.07
4.0,256.0,8.0,4.0,0.125,69.12,70.85,16.56,17.31,23.08,13.16,0.29,20.67,21.47,27.8,15.23,0.32
4.0,256.0,8.0,4.0,0.2,69.12,70.45,16.56,17.31,23.08,13.16,0.29,21.14,20.7,27.95,13.48,0.19
4.0,256.0,8.0,4.0,0.25,69.12,68.99,16.56,17.31,23.08,13.16,0.29,17.78,18.51,24.4,13.01,0.28
4.0,256.0,8.0,4.0,0.5,69.12,69.21,16.56,17.31,23.08,13.16,0.29,17.92,18.44,24.21,13.33,0.12
4.0,64.0,8.0,8.0,0.0,58.53,55.5,14.21,15.15,18.6,11.14,0.41,14.17,14.57,17.27,9.02,0.49
4.0,64.0,8.0,8.0,0.125,58.53,58.96,14.21,15.15,18.6,11.14,0.41,15.42,15.77,19.74,11.09,0.46
4.0,64.0,8.0,8.0,0.2,58.53,58.61,14.21,15.15,18.6,11.14,0.41,15.7,16.44,20.65,11.32,0.3
4.0,64.0,8.0,8.0,0.25,58.53,59.13,14.21,15.15,18.6,11.14,0.41,16.87,17.33,20.28,10.77,0.45
4.0,64.0,8.0,8.0,0.5,58.53,57.44,14.21,15.15,18.6,11.14,0.41,16.47,17.26,22.12,10.35,0.32
4.0,128.0,8.0,8.0,0.0,66.05,61.74,15.55,17.73,22.79,12.18,0.25,16.56,16.53,20.76,9.55,0.11
4.0,128.0,8.0,8.0,0.125,66.05,67.26,15.55,17.73,22.79,12.18,0.25,19.7,19.99,27.61,14.77,0.25
4.0,128.0,8.0,8.0,0.2,66.05,67.06,15.55,17.73,22.79,12.18,0.25,19.42,19.47,26.25,13.01,0.27
4.0,128.0,8.0,8.0,0.25,66.05,67.14,15.55,17.73,22.79,12.18,0.25,19.23,19.83,24.64,12.57,0.11
4.0,128.0,8.0,8.0,0.5,66.05,65.26,15.55,17.73,22.79,12.18,0.25,16.44,17.74,22.5,12.3,0.49
